"Url","StatusCode","Error","LoadMs","Title"
"http://localhost/sitec/","200","","747",
"http://localhost/sitec/services","200","","1542",
"http://localhost/sitec/cases","200","","1216",
"http://localhost/sitec/blog","200","","1497",
"http://localhost/sitec/nosotros/","200","","670",
"http://localhost/sitec/contacto/","200","","649",
"http://localhost/sitec/privacy-policy","200","","1438",
"http://localhost/sitec/terms","200","","1293",
"http://localhost/sitec/services/seguridad-inteligente-con-ia-proteccion-proactiva-24-7/","200","","756",
"http://localhost/sitec/services/conectividad-de-nueva-generacion-infraestructura-5g-ready/","200","","701",
"http://localhost/sitec/services/energia-inteligente-eficiencia-que-reduce-costos-hasta-60/","200","","1209",
"http://localhost/sitec/services/asesoria-estrategica-su-socio-en-transformacion-tecnologica/","200","","1497",
"http://localhost/sitec/cases/hospital-general-de-acapulco/","200","","1663",
"http://localhost/sitec/cases/universidad-tecnologica-del-valle/","200","","1846",
"http://localhost/sitec/cases/hotel-fiesta-americana/","200","","1891",
"http://localhost/sitec/cases/guardia-nacional-modernizacion-de-infraestructura/","200","","2096",
"http://localhost/sitec/cases/sedena-control-de-acceso-biometrico-santa-lucia/","200","","1949",
"http://localhost/sitec/cases/ine-infraestructura-de-elecciones-digitales-2024/","200","","775",
"http://localhost/sitec/cases/centro-comercial-plaza-milenium/","200","","776",
