"Url","StatusCode","Error","LoadMs","Title"
"http://localhost/sitec/","200","","696",
"http://localhost/sitec/services","200","","1436",
"http://localhost/sitec/cases","200","","1603",
"http://localhost/sitec/blog","200","","1291",
"http://localhost/sitec/nosotros/","200","","1011",
"http://localhost/sitec/contacto/","200","","744",
"http://localhost/sitec/privacy-policy","200","","1423",
"http://localhost/sitec/terms","200","","1339",
"http://localhost/sitec/services/seguridad-inteligente-con-ia-proteccion-proactiva-24-7/","200","","722",
"http://localhost/sitec/services/conectividad-de-nueva-generacion-infraestructura-5g-ready/","200","","656",
"http://localhost/sitec/services/energia-inteligente-eficiencia-que-reduce-costos-hasta-60/","200","","741",
"http://localhost/sitec/services/asesoria-estrategica-su-socio-en-transformacion-tecnologica/","200","","741",
"http://localhost/sitec/cases/hospital-general-de-acapulco/","200","","716",
"http://localhost/sitec/cases/universidad-tecnologica-del-valle/","200","","736",
"http://localhost/sitec/cases/hotel-fiesta-americana/","200","","720",
"http://localhost/sitec/cases/guardia-nacional-modernizacion-de-infraestructura/","200","","874",
"http://localhost/sitec/cases/sedena-control-de-acceso-biometrico-santa-lucia/","200","","704",
"http://localhost/sitec/cases/ine-infraestructura-de-elecciones-digitales-2024/","200","","732",
"http://localhost/sitec/cases/centro-comercial-plaza-milenium/","200","","705",
