"Url","StatusCode","Error","LoadMs","Title"
"http://localhost/sitec/","200","","760",
"http://localhost/sitec/services","200","","1385",
"http://localhost/sitec/cases","200","","1439",
"http://localhost/sitec/blog","404","Error en el servidor remoto: (404) No se encontró.","0",""
"http://localhost/sitec/nosotros/","200","","917",
"http://localhost/sitec/contacto/","200","","775",
"http://localhost/sitec/privacy-policy","404","Error en el servidor remoto: (404) No se encontró.","0",""
"http://localhost/sitec/terms","404","Error en el servidor remoto: (404) No se encontró.","0",""
"http://localhost/sitec/services/seguridad-inteligente-con-ia-proteccion-proactiva-24-7/","200","","751",
"http://localhost/sitec/services/conectividad-de-nueva-generacion-infraestructura-5g-ready/","200","","734",
"http://localhost/sitec/services/energia-inteligente-eficiencia-que-reduce-costos-hasta-60/","200","","939",
"http://localhost/sitec/services/asesoria-estrategica-su-socio-en-transformacion-tecnologica/","200","","745",
"http://localhost/sitec/cases/hospital-general-de-acapulco/","200","","748",
"http://localhost/sitec/cases/universidad-tecnologica-del-valle/","200","","886",
"http://localhost/sitec/cases/hotel-fiesta-americana/","200","","860",
"http://localhost/sitec/cases/guardia-nacional-modernizacion-de-infraestructura/","200","","702",
"http://localhost/sitec/cases/sedena-control-de-acceso-biometrico-santa-lucia/","200","","739",
"http://localhost/sitec/cases/ine-infraestructura-de-elecciones-digitales-2024/","200","","662",
"http://localhost/sitec/cases/centro-comercial-plaza-milenium/","200","","704",
